function_name,axis,complexity,run_index,model,n_iterations,stopped_because,final_mutation_score,final_mutants_total,final_mutants_killed,final_tests_generated,final_tests_kept,research_category,total_tokens_in,total_tokens_out,total_seconds,error
check_permission,pure,simple,0,gpt-4o-mini,2,plateau,78.18181818181819,55,43,20,20,input validator,3229,1794,150.22108070000104,
check_permission,pure,simple,1,gpt-4o-mini,2,plateau,78.18181818181819,55,43,12,12,input validator,3243,1859,149.04950819999794,
check_permission,pure,simple,2,gpt-4o-mini,2,plateau,78.18181818181819,55,43,15,14,input validator,3245,1939,146.42209959999673,
is_future_date,pure,simple,0,gpt-4o-mini,2,plateau,77.95527156549521,313,244,23,22,validation-forwarding,4291,2619,681.660151,
is_future_date,pure,simple,1,gpt-4o-mini,3,plateau,76.99680511182109,313,241,18,14,validation-forwarding,6593,3985,1202.3671754999996,
is_future_date,pure,simple,2,gpt-4o-mini,2,plateau,78.27476038338658,313,245,17,17,validation-forwarding,4251,2572,820.9212150999992,
parse_log_line,pure,simple,0,gpt-4o-mini,3,iteration_cap,72.44897959183673,98,71,8,6,parser,6190,2658,427.8380241999985,
parse_log_line,pure,simple,1,gpt-4o-mini,3,plateau,88.77551020408163,98,87,8,7,parser,6778,3404,449.298333499999,
parse_log_line,pure,simple,2,gpt-4o-mini,3,plateau,90.81632653061224,98,89,9,7,parser,6235,2919,452.2991168000008,
parse_user_id_from_string,pure,medium,0,gpt-4o-mini,2,plateau,66.66666666666667,30,20,9,8,parser,3361,1647,115.8812512000004,
parse_user_id_from_string,pure,medium,1,gpt-4o-mini,2,plateau,66.66666666666667,30,20,16,13,parser,3637,2365,138.07541750000019,
parse_user_id_from_string,pure,medium,2,gpt-4o-mini,2,plateau,66.66666666666667,30,20,8,6,parser,3261,1466,116.12357229999907,
transition_account_state,pure,medium,0,gpt-4o-mini,2,plateau,73.0,100,73,12,8,state machine,4074,1886,259.88874360000045,
transition_account_state,pure,medium,1,gpt-4o-mini,2,plateau,74.0,100,74,13,11,state machine,3909,1644,272.081221299999,
transition_account_state,pure,medium,2,gpt-4o-mini,2,plateau,71.0,100,71,9,7,state machine,3898,1695,291.3221707999983,
transition_order_status,pure,medium,0,gpt-4o-mini,2,plateau,69.38775510204081,98,68,10,10,state machine,3614,1634,287.2282864999979,
transition_order_status,pure,medium,1,gpt-4o-mini,2,plateau,69.38775510204081,98,68,11,10,state machine,3600,1620,281.20189480000045,
transition_order_status,pure,medium,2,gpt-4o-mini,2,plateau,69.38775510204081,98,68,10,10,state machine,3835,2043,304.5873637000004,
validate_date,pure,simple,0,gpt-4o-mini,2,plateau,90.27027027027027,185,167,10,7,input validator,3543,2375,466.6905565999987,
validate_date,pure,simple,1,gpt-4o-mini,3,plateau,85.4054054054054,185,158,9,7,input validator,5954,3949,604.9699499000017,
validate_date,pure,simple,2,gpt-4o-mini,3,iteration_cap,90.27027027027027,185,167,11,9,input validator,5426,3226,593.3921775999988,
binarySearchTree1,stateful,textbook,0,gpt-4o-mini,2,plateau,85.78199052132702,211,181,39,39,state machine,6138,3324,472.28965489999973,
binarySearchTree1,stateful,textbook,1,gpt-4o-mini,2,plateau,54.02843601895734,211,114,27,25,state machine,6045,2727,581.4820226000011,
binarySearchTree1,stateful,textbook,2,gpt-4o-mini,3,plateau,45.97156398104266,211,97,40,37,state machine,9179,4342,698.7939079999996,
identifier1,stateful,textbook,0,gpt-4o-mini,2,plateau,85.0,140,119,8,5,input validator,3262,1607,420.6210694000001,
identifier1,stateful,textbook,1,gpt-4o-mini,2,plateau,86.42857142857143,140,121,10,9,input validator,3363,1711,408.2583943000027,
identifier1,stateful,textbook,2,gpt-4o-mini,2,plateau,83.57142857142857,140,117,11,10,input validator,3234,1767,406.5916026999985,
linkedList1,stateful,textbook,0,gpt-4o-mini,2,plateau,41.0958904109589,146,60,15,10,data structure,6354,2586,327.0083322999999,
linkedList1,stateful,textbook,1,gpt-4o-mini,3,plateau,58.21917808219178,146,85,19,13,data structure,9313,3607,484.0365531999996,
linkedList1,stateful,textbook,2,gpt-4o-mini,3,iteration_cap,46.57534246575342,146,68,26,21,data structure,9977,4422,498.20971100000315,
sort1,stateful,textbook,0,gpt-4o-mini,2,plateau,85.94594594594595,185,159,13,9,sorting algorithms,4699,3188,1349.6492771000012,
sort1,stateful,textbook,1,gpt-4o-mini,3,plateau,88.10810810810811,185,163,18,17,sorting algorithms,8165,5812,2039.4126643000018,
sort1,stateful,textbook,2,gpt-4o-mini,2,plateau,86.48648648648648,185,160,6,4,sorting algorithms,4713,3444,1364.4966750000021,
